,row_id,date,country,store,product,num_sold,year,month,day
0,0,2015-01-01,Finland,KaggleMart,Kaggle Mug,329,2015,1,1
1,1,2015-01-01,Finland,KaggleMart,Kaggle Hat,520,2015,1,1
2,2,2015-01-01,Finland,KaggleMart,Kaggle Sticker,146,2015,1,1
3,3,2015-01-01,Finland,KaggleRama,Kaggle Mug,572,2015,1,1
4,4,2015-01-01,Finland,KaggleRama,Kaggle Hat,911,2015,1,1
5,5,2015-01-01,Finland,KaggleRama,Kaggle Sticker,283,2015,1,1
6,6,2015-01-01,Norway,KaggleMart,Kaggle Mug,526,2015,1,1
7,7,2015-01-01,Norway,KaggleMart,Kaggle Hat,906,2015,1,1
8,8,2015-01-01,Norway,KaggleMart,Kaggle Sticker,250,2015,1,1
9,9,2015-01-01,Norway,KaggleRama,Kaggle Mug,1005,2015,1,1
10,10,2015-01-01,Norway,KaggleRama,Kaggle Hat,1461,2015,1,1
11,11,2015-01-01,Norway,KaggleRama,Kaggle Sticker,395,2015,1,1
12,12,2015-01-01,Sweden,KaggleMart,Kaggle Mug,440,2015,1,1
13,13,2015-01-01,Sweden,KaggleMart,Kaggle Hat,624,2015,1,1
14,14,2015-01-01,Sweden,KaggleMart,Kaggle Sticker,175,2015,1,1
15,15,2015-01-01,Sweden,KaggleRama,Kaggle Mug,706,2015,1,1
16,16,2015-01-01,Sweden,KaggleRama,Kaggle Hat,1195,2015,1,1
17,17,2015-01-01,Sweden,KaggleRama,Kaggle Sticker,324,2015,1,1
18,18,2015-01-02,Finland,KaggleMart,Kaggle Mug,318,2015,1,2
19,19,2015-01-02,Finland,KaggleMart,Kaggle Hat,493,2015,1,2
20,20,2015-01-02,Finland,KaggleMart,Kaggle Sticker,127,2015,1,2
21,21,2015-01-02,Finland,KaggleRama,Kaggle Mug,544,2015,1,2
22,22,2015-01-02,Finland,KaggleRama,Kaggle Hat,794,2015,1,2
23,23,2015-01-02,Finland,KaggleRama,Kaggle Sticker,249,2015,1,2
24,24,2015-01-02,Norway,KaggleMart,Kaggle Mug,538,2015,1,2
25,25,2015-01-02,Norway,KaggleMart,Kaggle Hat,845,2015,1,2
26,26,2015-01-02,Norway,KaggleMart,Kaggle Sticker,237,2015,1,2
27,27,2015-01-02,Norway,KaggleRama,Kaggle Mug,949,2015,1,2
28,28,2015-01-02,Norway,KaggleRama,Kaggle Hat,1446,2015,1,2
29,29,2015-01-02,Norway,KaggleRama,Kaggle Sticker,415,2015,1,2
30,30,2015-01-02,Sweden,KaggleMart,Kaggle Mug,384,2015,1,2
31,31,2015-01-02,Sweden,KaggleMart,Kaggle Hat,572,2015,1,2
32,32,2015-01-02,Sweden,KaggleMart,Kaggle Sticker,155,2015,1,2
33,33,2015-01-02,Sweden,KaggleRama,Kaggle Mug,653,2015,1,2
34,34,2015-01-02,Sweden,KaggleRama,Kaggle Hat,986,2015,1,2
35,35,2015-01-02,Sweden,KaggleRama,Kaggle Sticker,293,2015,1,2
36,36,2015-01-03,Finland,KaggleMart,Kaggle Mug,360,2015,1,3
37,37,2015-01-03,Finland,KaggleMart,Kaggle Hat,535,2015,1,3
38,38,2015-01-03,Finland,KaggleMart,Kaggle Sticker,141,2015,1,3
39,39,2015-01-03,Finland,KaggleRama,Kaggle Mug,579,2015,1,3
40,40,2015-01-03,Finland,KaggleRama,Kaggle Hat,843,2015,1,3
41,41,2015-01-03,Finland,KaggleRama,Kaggle Sticker,265,2015,1,3
42,42,2015-01-03,Norway,KaggleMart,Kaggle Mug,614,2015,1,3
43,43,2015-01-03,Norway,KaggleMart,Kaggle Hat,930,2015,1,3
44,44,2015-01-03,Norway,KaggleMart,Kaggle Sticker,254,2015,1,3
45,45,2015-01-03,Norway,KaggleRama,Kaggle Mug,1029,2015,1,3
46,46,2015-01-03,Norway,KaggleRama,Kaggle Hat,1631,2015,1,3
47,47,2015-01-03,Norway,KaggleRama,Kaggle Sticker,451,2015,1,3
48,48,2015-01-03,Sweden,KaggleMart,Kaggle Mug,420,2015,1,3
49,49,2015-01-03,Sweden,KaggleMart,Kaggle Hat,630,2015,1,3
50,50,2015-01-03,Sweden,KaggleMart,Kaggle Sticker,173,2015,1,3
51,51,2015-01-03,Sweden,KaggleRama,Kaggle Mug,734,2015,1,3
52,52,2015-01-03,Sweden,KaggleRama,Kaggle Hat,1167,2015,1,3
53,53,2015-01-03,Sweden,KaggleRama,Kaggle Sticker,319,2015,1,3
54,54,2015-01-04,Finland,KaggleMart,Kaggle Mug,332,2015,1,4
55,55,2015-01-04,Finland,KaggleMart,Kaggle Hat,544,2015,1,4
56,56,2015-01-04,Finland,KaggleMart,Kaggle Sticker,125,2015,1,4
57,57,2015-01-04,Finland,KaggleRama,Kaggle Mug,582,2015,1,4
58,58,2015-01-04,Finland,KaggleRama,Kaggle Hat,873,2015,1,4
59,59,2015-01-04,Finland,KaggleRama,Kaggle Sticker,245,2015,1,4
60,60,2015-01-04,Norway,KaggleMart,Kaggle Mug,589,2015,1,4
61,61,2015-01-04,Norway,KaggleMart,Kaggle Hat,889,2015,1,4
62,62,2015-01-04,Norway,KaggleMart,Kaggle Sticker,255,2015,1,4
63,63,2015-01-04,Norway,KaggleRama,Kaggle Mug,957,2015,1,4
64,64,2015-01-04,Norway,KaggleRama,Kaggle Hat,1540,2015,1,4
65,65,2015-01-04,Norway,KaggleRama,Kaggle Sticker,455,2015,1,4
66,66,2015-01-04,Sweden,KaggleMart,Kaggle Mug,406,2015,1,4
67,67,2015-01-04,Sweden,KaggleMart,Kaggle Hat,697,2015,1,4
68,68,2015-01-04,Sweden,KaggleMart,Kaggle Sticker,169,2015,1,4
69,69,2015-01-04,Sweden,KaggleRama,Kaggle Mug,657,2015,1,4
70,70,2015-01-04,Sweden,KaggleRama,Kaggle Hat,1112,2015,1,4
71,71,2015-01-04,Sweden,KaggleRama,Kaggle Sticker,300,2015,1,4
72,72,2015-01-05,Finland,KaggleMart,Kaggle Mug,243,2015,1,5
73,73,2015-01-05,Finland,KaggleMart,Kaggle Hat,378,2015,1,5
74,74,2015-01-05,Finland,KaggleMart,Kaggle Sticker,102,2015,1,5
75,75,2015-01-05,Finland,KaggleRama,Kaggle Mug,423,2015,1,5
76,76,2015-01-05,Finland,KaggleRama,Kaggle Hat,668,2015,1,5
77,77,2015-01-05,Finland,KaggleRama,Kaggle Sticker,187,2015,1,5
78,78,2015-01-05,Norway,KaggleMart,Kaggle Mug,435,2015,1,5
79,79,2015-01-05,Norway,KaggleMart,Kaggle Hat,671,2015,1,5
